候选编号,服务区编号,机型编号,货箱列表,箱数,总质量_kg,总体积_m3,E_batch_kWh,T_batch_s
2284,S001,C,"('S001-WAT-02', 'S001-WAT-06', 'S001-WAT-07', 'S001-WAT-08', 'S001-FOD-01', 'S001-FOD-02')",6,72.0,0.164,2.7847803061169083,1512.7413550110386
2285,S001,C,"('S001-WAT-02', 'S001-WAT-06', 'S001-WAT-07', 'S001-WAT-08', 'S001-FOD-01', 'S001-FOD-02', 'S001-HYG-02')",7,78.0,0.199,2.9997943195296233,1578.7413550110386
2286,S001,C,"('S001-WAT-02', 'S001-WAT-06', 'S001-WAT-07', 'S001-WAT-08', 'S001-FOD-01', 'S001-FOD-02', 'S001-HYG-01')",7,78.0,0.199,2.9997943195296233,1578.7413550110386
2287,S001,C,"('S001-WAT-02', 'S001-WAT-06', 'S001-WAT-07', 'S001-WAT-08', 'S001-FOD-01', 'S001-FOD-02', 'S001-FOD-03')",7,80.0,0.192,3.0856647766254075,1578.7413550110386
2288,S001,C,"('S001-WAT-02', 'S001-WAT-05')",2,28.0,0.054,2.078183292176762,1248.7413550110386
2289,S001,C,"('S001-WAT-02', 'S001-WAT-05', 'S001-HYG-02')",3,34.0,0.089,2.128503264450888,1314.7413550110386
2290,S001,C,"('S001-WAT-02', 'S001-WAT-05', 'S001-HYG-01')",3,34.0,0.089,2.128503264450888,1314.7413550110386
2291,S001,C,"('S001-WAT-02', 'S001-WAT-05', 'S001-HYG-01', 'S001-HYG-02')",4,40.0,0.124,2.1881360129847147,1380.7413550110386
2292,S001,C,"('S001-WAT-02', 'S001-WAT-05', 'S001-FOD-03')",3,36.0,0.082,2.147268384043832,1314.7413550110386
2293,S001,C,"('S001-WAT-02', 'S001-WAT-05', 'S001-FOD-03', 'S001-HYG-02')",4,42.0,0.117,2.2103808441599107,1380.7413550110386
2294,S001,C,"('S001-WAT-02', 'S001-WAT-05', 'S001-FOD-03', 'S001-HYG-01')",4,42.0,0.117,2.2103808441599107,1380.7413550110386
2295,S001,C,"('S001-WAT-02', 'S001-WAT-05', 'S001-FOD-03', 'S001-HYG-01', 'S001-HYG-02')",5,48.0,0.15200000000000002,2.2854023981920952,1446.7413550110386
2296,S001,C,"('S001-WAT-02', 'S001-WAT-05', 'S001-FOD-02')",3,36.0,0.082,2.147268384043832,1314.7413550110386
2297,S001,C,"('S001-WAT-02', 'S001-WAT-05', 'S001-FOD-02', 'S001-HYG-02')",4,42.0,0.117,2.2103808441599107,1380.7413550110386
2298,S001,C,"('S001-WAT-02', 'S001-WAT-05', 'S001-FOD-02', 'S001-HYG-01')",4,42.0,0.117,2.2103808441599107,1380.7413550110386
2299,S001,C,"('S001-WAT-02', 'S001-WAT-05', 'S001-FOD-02', 'S001-HYG-01', 'S001-HYG-02')",5,48.0,0.15200000000000002,2.2854023981920952,1446.7413550110386
2300,S001,C,"('S001-WAT-02', 'S001-WAT-05', 'S001-FOD-02', 'S001-FOD-03')",4,44.0,0.11,2.2339422174426264,1380.7413550110386
2301,S001,C,"('S001-WAT-02', 'S001-WAT-05', 'S001-FOD-02', 'S001-FOD-03', 'S001-HYG-02')",5,50.0,0.14500000000000002,2.313524735445424,1446.7413550110386
2302,S001,C,"('S001-WAT-02', 'S001-WAT-05', 'S001-FOD-02', 'S001-FOD-03', 'S001-HYG-01')",5,50.0,0.14500000000000002,2.313524735445424,1446.7413550110386
2303,S001,C,"('S001-WAT-02', 'S001-WAT-05', 'S001-FOD-02', 'S001-FOD-03', 'S001-HYG-01', 'S001-HYG-02')",6,56.0,0.18000000000000002,2.4091087492118612,1512.7413550110386
2304,S001,C,"('S001-WAT-02', 'S001-WAT-05', 'S001-FOD-01')",3,36.0,0.082,2.147268384043832,1314.7413550110386
2305,S001,C,"('S001-WAT-02', 'S001-WAT-05', 'S001-FOD-01', 'S001-HYG-02')",4,42.0,0.117,2.2103808441599107,1380.7413550110386
2306,S001,C,"('S001-WAT-02', 'S001-WAT-05', 'S001-FOD-01', 'S001-HYG-01')",4,42.0,0.117,2.2103808441599107,1380.7413550110386
2307,S001,C,"('S001-WAT-02', 'S001-WAT-05', 'S001-FOD-01', 'S001-HYG-01', 'S001-HYG-02')",5,48.0,0.15200000000000002,2.2854023981920952,1446.7413550110386
2308,S001,C,"('S001-WAT-02', 'S001-WAT-05', 'S001-FOD-01', 'S001-FOD-03')",4,44.0,0.11,2.2339422174426264,1380.7413550110386
2309,S001,C,"('S001-WAT-02', 'S001-WAT-05', 'S001-FOD-01', 'S001-FOD-03', 'S001-HYG-02')",5,50.0,0.14500000000000002,2.313524735445424,1446.7413550110386
2310,S001,C,"('S001-WAT-02', 'S001-WAT-05', 'S001-FOD-01', 'S001-FOD-03', 'S001-HYG-01')",5,50.0,0.14500000000000002,2.313524735445424,1446.7413550110386
2311,S001,C,"('S001-WAT-02', 'S001-WAT-05', 'S001-FOD-01', 'S001-FOD-03', 'S001-HYG-01', 'S001-HYG-02')",6,56.0,0.18000000000000002,2.4091087492118612,1512.7413550110386
2312,S001,C,"('S001-WAT-02', 'S001-WAT-05', 'S001-FOD-01', 'S001-FOD-02')",4,44.0,0.11,2.2339422174426264,1380.7413550110386
2313,S001,C,"('S001-WAT-02', 'S001-WAT-05', 'S001-FOD-01', 'S001-FOD-02', 'S001-HYG-02')",5,50.0,0.14500000000000002,2.313524735445424,1446.7413550110386
2314,S001,C,"('S001-WAT-02', 'S001-WAT-05', 'S001-FOD-01', 'S001-FOD-02', 'S001-HYG-01')",5,50.0,0.14500000000000002,2.313524735445424,1446.7413550110386
2315,S001,C,"('S001-WAT-02', 'S001-WAT-05', 'S001-FOD-01', 'S001-FOD-02', 'S001-HYG-01', 'S001-HYG-02')",6,56.0,0.18000000000000002,2.4091087492118612,1512.7413550110386
2316,S001,C,"('S001-WAT-02', 'S001-WAT-05', 'S001-FOD-01', 'S001-FOD-02', 'S001-FOD-03')",5,52.0,0.138,2.3434139160961776,1446.7413550110386
2317,S001,C,"('S001-WAT-02', 'S001-WAT-05', 'S001-FOD-01', 'S001-FOD-02', 'S001-FOD-03', 'S001-HYG-02')",6,58.0,0.17300000000000001,2.445273009302263,1512.7413550110386
2318,S001,C,"('S001-WAT-02', 'S001-WAT-05', 'S001-FOD-01', 'S001-FOD-02', 'S001-FOD-03', 'S001-HYG-01')",6,58.0,0.17300000000000001,2.445273009302263,1512.7413550110386
2319,S001,C,"('S001-WAT-02', 'S001-WAT-05', 'S001-FOD-01', 'S001-FOD-02', 'S001-FOD-03', 'S001-HYG-01', 'S001-HYG-02')",7,64.0,0.20800000000000002,2.5697276175168415,1578.7413550110386
2320,S001,C,"('S001-WAT-02', 'S001-WAT-05', 'S001-WAT-08')",3,42.0,0.081,2.2103808441599107,1314.7413550110386
2321,S001,C,"('S001-WAT-02', 'S001-WAT-05', 'S001-WAT-08', 'S001-HYG-02')",4,48.0,0.116,2.2854023981920952,1380.7413550110386
2322,S001,C,"('S001-WAT-02', 'S001-WAT-05', 'S001-WAT-08', 'S001-HYG-01')",4,48.0,0.116,2.2854023981920952,1380.7413550110386
2323,S001,C,"('S001-WAT-02', 'S001-WAT-05', 'S001-WAT-08', 'S001-HYG-01', 'S001-HYG-02')",5,54.0,0.15100000000000002,2.3752191585594096,1446.7413550110386
2324,S001,C,"('S001-WAT-02', 'S001-WAT-05', 'S001-WAT-08', 'S001-FOD-03')",4,50.0,0.109,2.313524735445424,1380.7413550110386
2325,S001,C,"('S001-WAT-02', 'S001-WAT-05', 'S001-WAT-08', 'S001-FOD-03', 'S001-HYG-02')",5,56.0,0.14400000000000002,2.4091087492118612,1446.7413550110386
2326,S001,C,"('S001-WAT-02', 'S001-WAT-05', 'S001-WAT-08', 'S001-FOD-03', 'S001-HYG-01')",5,56.0,0.14400000000000002,2.4091087492118612,1446.7413550110386
2327,S001,C,"('S001-WAT-02', 'S001-WAT-05', 'S001-WAT-08', 'S001-FOD-03', 'S001-HYG-01', 'S001-HYG-02')",6,62.0,0.17900000000000002,2.5253190915962973,1512.7413550110386
2328,S001,C,"('S001-WAT-02', 'S001-WAT-05', 'S001-WAT-08', 'S001-FOD-02')",4,50.0,0.109,2.313524735445424,1380.7413550110386
2329,S001,C,"('S001-WAT-02', 'S001-WAT-05', 'S001-WAT-08', 'S001-FOD-02', 'S001-HYG-02')",5,56.0,0.14400000000000002,2.4091087492118612,1446.7413550110386
2330,S001,C,"('S001-WAT-02', 'S001-WAT-05', 'S001-WAT-08', 'S001-FOD-02', 'S001-HYG-01')",5,56.0,0.14400000000000002,2.4091087492118612,1446.7413550110386
2331,S001,C,"('S001-WAT-02', 'S001-WAT-05', 'S001-WAT-08', 'S001-FOD-02', 'S001-HYG-01', 'S001-HYG-02')",6,62.0,0.17900000000000002,2.5253190915962973,1512.7413550110386
2332,S001,C,"('S001-WAT-02', 'S001-WAT-05', 'S001-WAT-08', 'S001-FOD-02', 'S001-FOD-03')",5,58.0,0.137,2.445273009302263,1446.7413550110386
2333,S001,C,"('S001-WAT-02', 'S001-WAT-05', 'S001-WAT-08', 'S001-FOD-02', 'S001-FOD-03', 'S001-HYG-02')",6,64.0,0.17200000000000001,2.5697276175168415,1512.7413550110386
2334,S001,C,"('S001-WAT-02', 'S001-WAT-05', 'S001-WAT-08', 'S001-FOD-02', 'S001-FOD-03', 'S001-HYG-01')",6,64.0,0.17200000000000001,2.5697276175168415,1512.7413550110386
2335,S001,C,"('S001-WAT-02', 'S001-WAT-05', 'S001-WAT-08', 'S001-FOD-02', 'S001-FOD-03', 'S001-HYG-01', 'S001-HYG-02')",7,70.0,0.20700000000000002,2.724536208772231,1578.7413550110386
2336,S001,C,"('S001-WAT-02', 'S001-WAT-05', 'S001-WAT-08', 'S001-FOD-01')",4,50.0,0.109,2.313524735445424,1380.7413550110386
2337,S001,C,"('S001-WAT-02', 'S001-WAT-05', 'S001-WAT-08', 'S001-FOD-01', 'S001-HYG-02')",5,56.0,0.14400000000000002,2.4091087492118612,1446.7413550110386
2338,S001,C,"('S001-WAT-02', 'S001-WAT-05', 'S001-WAT-08', 'S001-FOD-01', 'S001-HYG-01')",5,56.0,0.14400000000000002,2.4091087492118612,1446.7413550110386
2339,S001,C,"('S001-WAT-02', 'S001-WAT-05', 'S001-WAT-08', 'S001-FOD-01', 'S001-HYG-01', 'S001-HYG-02')",6,62.0,0.17900000000000002,2.5253190915962973,1512.7413550110386
2340,S001,C,"('S001-WAT-02', 'S001-WAT-05', 'S001-WAT-08', 'S001-FOD-01', 'S001-FOD-03')",5,58.0,0.137,2.445273009302263,1446.7413550110386
2341,S001,C,"('S001-WAT-02', 'S001-WAT-05', 'S001-WAT-08', 'S001-FOD-01', 'S001-FOD-03', 'S001-HYG-02')",6,64.0,0.17200000000000001,2.5697276175168415,1512.7413550110386
2342,S001,C,"('S001-WAT-02', 'S001-WAT-05', 'S001-WAT-08', 'S001-FOD-01', 'S001-FOD-03', 'S001-HYG-01')",6,64.0,0.17200000000000001,2.5697276175168415,1512.7413550110386
2343,S001,C,"('S001-WAT-02', 'S001-WAT-05', 'S001-WAT-08', 'S001-FOD-01', 'S001-FOD-03', 'S001-HYG-01', 'S001-HYG-02')",7,70.0,0.20700000000000002,2.724536208772231,1578.7413550110386
2344,S001,C,"('S001-WAT-02', 'S001-WAT-05', 'S001-WAT-08', 'S001-FOD-01', 'S001-FOD-02')",5,58.0,0.137,2.445273009302263,1446.7413550110386
2345,S001,C,"('S001-WAT-02', 'S001-WAT-05', 'S001-WAT-08', 'S001-FOD-01', 'S001-FOD-02', 'S001-HYG-02')",6,64.0,0.17200000000000001,2.5697276175168415,1512.7413550110386
2346,S001,C,"('S001-WAT-02', 'S001-WAT-05', 'S001-WAT-08', 'S001-FOD-01', 'S001-FOD-02', 'S001-HYG-01')",6,64.0,0.17200000000000001,2.5697276175168415,1512.7413550110386
2347,S001,C,"('S001-WAT-02', 'S001-WAT-05', 'S001-WAT-08', 'S001-FOD-01', 'S001-FOD-02', 'S001-HYG-01', 'S001-HYG-02')",7,70.0,0.20700000000000002,2.724536208772231,1578.7413550110386
2348,S001,C,"('S001-WAT-02', 'S001-WAT-05', 'S001-WAT-08', 'S001-FOD-01', 'S001-FOD-02', 'S001-FOD-03')",6,66.0,0.165,2.6174757761482605,1512.7413550110386
2349,S001,C,"('S001-WAT-02', 'S001-WAT-05', 'S001-WAT-08', 'S001-FOD-01', 'S001-FOD-02', 'S001-FOD-03', 'S001-HYG-02')",7,72.0,0.2,2.7847803061169083,1578.7413550110386
2350,S001,C,"('S001-WAT-02', 'S001-WAT-05', 'S001-WAT-08', 'S001-FOD-01', 'S001-FOD-02', 'S001-FOD-03', 'S001-HYG-01')",7,72.0,0.2,2.7847803061169083,1578.7413550110386
2351,S001,C,"('S001-WAT-02', 'S001-WAT-05', 'S001-WAT-08', 'S001-FOD-01', 'S001-FOD-02', 'S001-FOD-03', 'S001-HYG-01', 'S001-HYG-02')",8,78.0,0.23500000000000001,2.9997943195296233,1644.7413550110386
2352,S001,C,"('S001-WAT-02', 'S001-WAT-05', 'S001-WAT-07')",3,42.0,0.081,2.2103808441599107,1314.7413550110386
2353,S001,C,"('S001-WAT-02', 'S001-WAT-05', 'S001-WAT-07', 'S001-HYG-02')",4,48.0,0.116,2.2854023981920952,1380.7413550110386
2354,S001,C,"('S001-WAT-02', 'S001-WAT-05', 'S001-WAT-07', 'S001-HYG-01')",4,48.0,0.116,2.2854023981920952,1380.7413550110386
2355,S001,C,"('S001-WAT-02', 'S001-WAT-05', 'S001-WAT-07', 'S001-HYG-01', 'S001-HYG-02')",5,54.0,0.15100000000000002,2.3752191585594096,1446.7413550110386
2356,S001,C,"('S001-WAT-02', 'S001-WAT-05', 'S001-WAT-07', 'S001-FOD-03')",4,50.0,0.109,2.313524735445424,1380.7413550110386
2357,S001,C,"('S001-WAT-02', 'S001-WAT-05', 'S001-WAT-07', 'S001-FOD-03', 'S001-HYG-02')",5,56.0,0.14400000000000002,2.4091087492118612,1446.7413550110386
2358,S001,C,"('S001-WAT-02', 'S001-WAT-05', 'S001-WAT-07', 'S001-FOD-03', 'S001-HYG-01')",5,56.0,0.14400000000000002,2.4091087492118612,1446.7413550110386
2359,S001,C,"('S001-WAT-02', 'S001-WAT-05', 'S001-WAT-07', 'S001-FOD-03', 'S001-HYG-01', 'S001-HYG-02')",6,62.0,0.17900000000000002,2.5253190915962973,1512.7413550110386
2360,S001,C,"('S001-WAT-02', 'S001-WAT-05', 'S001-WAT-07', 'S001-FOD-02')",4,50.0,0.109,2.313524735445424,1380.7413550110386
2361,S001,C,"('S001-WAT-02', 'S001-WAT-05', 'S001-WAT-07', 'S001-FOD-02', 'S001-HYG-02')",5,56.0,0.14400000000000002,2.4091087492118612,1446.7413550110386
2362,S001,C,"('S001-WAT-02', 'S001-WAT-05', 'S001-WAT-07', 'S001-FOD-02', 'S001-HYG-01')",5,56.0,0.14400000000000002,2.4091087492118612,1446.7413550110386
2363,S001,C,"('S001-WAT-02', 'S001-WAT-05', 'S001-WAT-07', 'S001-FOD-02', 'S001-HYG-01', 'S001-HYG-02')",6,62.0,0.17900000000000002,2.5253190915962973,1512.7413550110386
2364,S001,C,"('S001-WAT-02', 'S001-WAT-05', 'S001-WAT-07', 'S001-FOD-02', 'S001-FOD-03')",5,58.0,0.137,2.445273009302263,1446.7413550110386
2365,S001,C,"('S001-WAT-02', 'S001-WAT-05', 'S001-WAT-07', 'S001-FOD-02', 'S001-FOD-03', 'S001-HYG-02')",6,64.0,0.17200000000000001,2.5697276175168415,1512.7413550110386
2366,S001,C,"('S001-WAT-02', 'S001-WAT-05', 'S001-WAT-07', 'S001-FOD-02', 'S001-FOD-03', 'S001-HYG-01')",6,64.0,0.17200000000000001,2.5697276175168415,1512.7413550110386
2367,S001,C,"('S001-WAT-02', 'S001-WAT-05', 'S001-WAT-07', 'S001-FOD-02', 'S001-FOD-03', 'S001-HYG-01', 'S001-HYG-02')",7,70.0,0.20700000000000002,2.724536208772231,1578.7413550110386
2368,S001,C,"('S001-WAT-02', 'S001-WAT-05', 'S001-WAT-07', 'S001-FOD-01')",4,50.0,0.109,2.313524735445424,1380.7413550110386
2369,S001,C,"('S001-WAT-02', 'S001-WAT-05', 'S001-WAT-07', 'S001-FOD-01', 'S001-HYG-02')",5,56.0,0.14400000000000002,2.4091087492118612,1446.7413550110386
2370,S001,C,"('S001-WAT-02', 'S001-WAT-05', 'S001-WAT-07', 'S001-FOD-01', 'S001-HYG-01')",5,56.0,0.14400000000000002,2.4091087492118612,1446.7413550110386
2371,S001,C,"('S001-WAT-02', 'S001-WAT-05', 'S001-WAT-07', 'S001-FOD-01', 'S001-HYG-01', 'S001-HYG-02')",6,62.0,0.17900000000000002,2.5253190915962973,1512.7413550110386
2372,S001,C,"('S001-WAT-02', 'S001-WAT-05', 'S001-WAT-07', 'S001-FOD-01', 'S001-FOD-03')",5,58.0,0.137,2.445273009302263,1446.7413550110386
2373,S001,C,"('S001-WAT-02', 'S001-WAT-05', 'S001-WAT-07', 'S001-FOD-01', 'S001-FOD-03', 'S001-HYG-02')",6,64.0,0.17200000000000001,2.5697276175168415,1512.7413550110386
2374,S001,C,"('S001-WAT-02', 'S001-WAT-05', 'S001-WAT-07', 'S001-FOD-01', 'S001-FOD-03', 'S001-HYG-01')",6,64.0,0.17200000000000001,2.5697276175168415,1512.7413550110386
2375,S001,C,"('S001-WAT-02', 'S001-WAT-05', 'S001-WAT-07', 'S001-FOD-01', 'S001-FOD-03', 'S001-HYG-01', 'S001-HYG-02')",7,70.0,0.20700000000000002,2.724536208772231,1578.7413550110386
2376,S001,C,"('S001-WAT-02', 'S001-WAT-05', 'S001-WAT-07', 'S001-FOD-01', 'S001-FOD-02')",5,58.0,0.137,2.445273009302263,1446.7413550110386
2377,S001,C,"('S001-WAT-02', 'S001-WAT-05', 'S001-WAT-07', 'S001-FOD-01', 'S001-FOD-02', 'S001-HYG-02')",6,64.0,0.17200000000000001,2.5697276175168415,1512.7413550110386
2378,S001,C,"('S001-WAT-02', 'S001-WAT-05', 'S001-WAT-07', 'S001-FOD-01', 'S001-FOD-02', 'S001-HYG-01')",6,64.0,0.17200000000000001,2.5697276175168415,1512.7413550110386
2379,S001,C,"('S001-WAT-02', 'S001-WAT-05', 'S001-WAT-07', 'S001-FOD-01', 'S001-FOD-02', 'S001-HYG-01', 'S001-HYG-02')",7,70.0,0.20700000000000002,2.724536208772231,1578.7413550110386
2380,S001,C,"('S001-WAT-02', 'S001-WAT-05', 'S001-WAT-07', 'S001-FOD-01', 'S001-FOD-02', 'S001-FOD-03')",6,66.0,0.165,2.6174757761482605,1512.7413550110386
2381,S001,C,"('S001-WAT-02', 'S001-WAT-05', 'S001-WAT-07', 'S001-FOD-01', 'S001-FOD-02', 'S001-FOD-03', 'S001-HYG-02')",7,72.0,0.2,2.7847803061169083,1578.7413550110386
2382,S001,C,"('S001-WAT-02', 'S001-WAT-05', 'S001-WAT-07', 'S001-FOD-01', 'S001-FOD-02', 'S001-FOD-03', 'S001-HYG-01')",7,72.0,0.2,2.7847803061169083,1578.7413550110386
2383,S001,C,"('S001-WAT-02', 'S001-WAT-05', 'S001-WAT-07', 'S001-FOD-01', 'S001-FOD-02', 'S001-FOD-03', 'S001-HYG-01', 'S001-HYG-02')",8,78.0,0.23500000000000001,2.9997943195296233,1644.7413550110386
2384,S001,C,"('S001-WAT-02', 'S001-WAT-05', 'S001-WAT-07', 'S001-WAT-08')",4,56.0,0.108,2.4091087492118612,1380.7413550110386
2385,S001,C,"('S001-WAT-02', 'S001-WAT-05', 'S001-WAT-07', 'S001-WAT-08', 'S001-HYG-02')",5,62.0,0.14300000000000002,2.5253190915962973,1446.7413550110386
2386,S001,C,"('S001-WAT-02', 'S001-WAT-05', 'S001-WAT-07', 'S001-WAT-08', 'S001-HYG-01')",5,62.0,0.14300000000000002,2.5253190915962973,1446.7413550110386
2387,S001,C,"('S001-WAT-02', 'S001-WAT-05', 'S001-WAT-07', 'S001-WAT-08', 'S001-HYG-01', 'S001-HYG-02')",6,68.0,0.17800000000000002,2.668935151502603,1512.7413550110386
2388,S001,C,"('S001-WAT-02', 'S001-WAT-05', 'S001-WAT-07', 'S001-WAT-08', 'S001-FOD-03')",5,64.0,0.136,2.5697276175168415,1446.7413550110386
2389,S001,C,"('S001-WAT-02', 'S001-WAT-05', 'S001-WAT-07', 'S001-WAT-08', 'S001-FOD-03', 'S001-HYG-02')",6,70.0,0.171,2.724536208772231,1512.7413550110386
2390,S001,C,"('S001-WAT-02', 'S001-WAT-05', 'S001-WAT-07', 'S001-WAT-08', 'S001-FOD-03', 'S001-HYG-01')",6,70.0,0.171,2.724536208772231,1512.7413550110386
2391,S001,C,"('S001-WAT-02', 'S001-WAT-05', 'S001-WAT-07', 'S001-WAT-08', 'S001-FOD-03', 'S001-HYG-01', 'S001-HYG-02')",7,76.0,0.20600000000000002,2.9216521037055703,1578.7413550110386
2392,S001,C,"('S001-WAT-02', 'S001-WAT-05', 'S001-WAT-07', 'S001-WAT-08', 'S001-FOD-02')",5,64.0,0.136,2.5697276175168415,1446.7413550110386
2393,S001,C,"('S001-WAT-02', 'S001-WAT-05', 'S001-WAT-07', 'S001-WAT-08', 'S001-FOD-02', 'S001-HYG-02')",6,70.0,0.171,2.724536208772231,1512.7413550110386
2394,S001,C,"('S001-WAT-02', 'S001-WAT-05', 'S001-WAT-07', 'S001-WAT-08', 'S001-FOD-02', 'S001-HYG-01')",6,70.0,0.171,2.724536208772231,1512.7413550110386
2395,S001,C,"('S001-WAT-02', 'S001-WAT-05', 'S001-WAT-07', 'S001-WAT-08', 'S001-FOD-02', 'S001-HYG-01', 'S001-HYG-02')",7,76.0,0.20600000000000002,2.9216521037055703,1578.7413550110386
2396,S001,C,"('S001-WAT-02', 'S001-WAT-05', 'S001-WAT-07', 'S001-WAT-08', 'S001-FOD-02', 'S001-FOD-03')",6,72.0,0.164,2.7847803061169083,1512.7413550110386
2397,S001,C,"('S001-WAT-02', 'S001-WAT-05', 'S001-WAT-07', 'S001-WAT-08', 'S001-FOD-02', 'S001-FOD-03', 'S001-HYG-02')",7,78.0,0.199,2.9997943195296233,1578.7413550110386
2398,S001,C,"('S001-WAT-02', 'S001-WAT-05', 'S001-WAT-07', 'S001-WAT-08', 'S001-FOD-02', 'S001-FOD-03', 'S001-HYG-01')",7,78.0,0.199,2.9997943195296233,1578.7413550110386
2399,S001,C,"('S001-WAT-02', 'S001-WAT-05', 'S001-WAT-07', 'S001-WAT-08', 'S001-FOD-01')",5,64.0,0.136,2.5697276175168415,1446.7413550110386
2400,S001,C,"('S001-WAT-02', 'S001-WAT-05', 'S001-WAT-07', 'S001-WAT-08', 'S001-FOD-01', 'S001-HYG-02')",6,70.0,0.171,2.724536208772231,1512.7413550110386
2401,S001,C,"('S001-WAT-02', 'S001-WAT-05', 'S001-WAT-07', 'S001-WAT-08', 'S001-FOD-01', 'S001-HYG-01')",6,70.0,0.171,2.724536208772231,1512.7413550110386
2402,S001,C,"('S001-WAT-02', 'S001-WAT-05', 'S001-WAT-07', 'S001-WAT-08', 'S001-FOD-01', 'S001-HYG-01', 'S001-HYG-02')",7,76.0,0.20600000000000002,2.9216521037055703,1578.7413550110386
2403,S001,C,"('S001-WAT-02', 'S001-WAT-05', 'S001-WAT-07', 'S001-WAT-08', 'S001-FOD-01', 'S001-FOD-03')",6,72.0,0.164,2.7847803061169083,1512.7413550110386
2404,S001,C,"('S001-WAT-02', 'S001-WAT-05', 'S001-WAT-07', 'S001-WAT-08', 'S001-FOD-01', 'S001-FOD-03', 'S001-HYG-02')",7,78.0,0.199,2.9997943195296233,1578.7413550110386
2405,S001,C,"('S001-WAT-02', 'S001-WAT-05', 'S001-WAT-07', 'S001-WAT-08', 'S001-FOD-01', 'S001-FOD-03', 'S001-HYG-01')",7,78.0,0.199,2.9997943195296233,1578.7413550110386
2406,S001,C,"('S001-WAT-02', 'S001-WAT-05', 'S001-WAT-07', 'S001-WAT-08', 'S001-FOD-01', 'S001-FOD-02')",6,72.0,0.164,2.7847803061169083,1512.7413550110386
2407,S001,C,"('S001-WAT-02', 'S001-WAT-05', 'S001-WAT-07', 'S001-WAT-08', 'S001-FOD-01', 'S001-FOD-02', 'S001-HYG-02')",7,78.0,0.199,2.9997943195296233,1578.7413550110386
2408,S001,C,"('S001-WAT-02', 'S001-WAT-05', 'S001-WAT-07', 'S001-WAT-08', 'S001-FOD-01', 'S001-FOD-02', 'S001-HYG-01')",7,78.0,0.199,2.9997943195296233,1578.7413550110386
2409,S001,C,"('S001-WAT-02', 'S001-WAT-05', 'S001-WAT-07', 'S001-WAT-08', 'S001-FOD-01', 'S001-FOD-02', 'S001-FOD-03')",7,80.0,0.192,3.0856647766254075,1578.7413550110386
2410,S001,C,"('S001-WAT-02', 'S001-WAT-05', 'S001-WAT-06')",3,42.0,0.081,2.2103808441599107,1314.7413550110386
2411,S001,C,"('S001-WAT-02', 'S001-WAT-05', 'S001-WAT-06', 'S001-HYG-02')",4,48.0,0.116,2.2854023981920952,1380.7413550110386
2412,S001,C,"('S001-WAT-02', 'S001-WAT-05', 'S001-WAT-06', 'S001-HYG-01')",4,48.0,0.116,2.2854023981920952,1380.7413550110386
2413,S001,C,"('S001-WAT-02', 'S001-WAT-05', 'S001-WAT-06', 'S001-HYG-01', 'S001-HYG-02')",5,54.0,0.15100000000000002,2.3752191585594096,1446.7413550110386
2414,S001,C,"('S001-WAT-02', 'S001-WAT-05', 'S001-WAT-06', 'S001-FOD-03')",4,50.0,0.109,2.313524735445424,1380.7413550110386
2415,S001,C,"('S001-WAT-02', 'S001-WAT-05', 'S001-WAT-06', 'S001-FOD-03', 'S001-HYG-02')",5,56.0,0.14400000000000002,2.4091087492118612,1446.7413550110386
2416,S001,C,"('S001-WAT-02', 'S001-WAT-05', 'S001-WAT-06', 'S001-FOD-03', 'S001-HYG-01')",5,56.0,0.14400000000000002,2.4091087492118612,1446.7413550110386
2417,S001,C,"('S001-WAT-02', 'S001-WAT-05', 'S001-WAT-06', 'S001-FOD-03', 'S001-HYG-01', 'S001-HYG-02')",6,62.0,0.17900000000000002,2.5253190915962973,1512.7413550110386
2418,S001,C,"('S001-WAT-02', 'S001-WAT-05', 'S001-WAT-06', 'S001-FOD-02')",4,50.0,0.109,2.313524735445424,1380.7413550110386
2419,S001,C,"('S001-WAT-02', 'S001-WAT-05', 'S001-WAT-06', 'S001-FOD-02', 'S001-HYG-02')",5,56.0,0.14400000000000002,2.4091087492118612,1446.7413550110386
2420,S001,C,"('S001-WAT-02', 'S001-WAT-05', 'S001-WAT-06', 'S001-FOD-02', 'S001-HYG-01')",5,56.0,0.14400000000000002,2.4091087492118612,1446.7413550110386
2421,S001,C,"('S001-WAT-02', 'S001-WAT-05', 'S001-WAT-06', 'S001-FOD-02', 'S001-HYG-01', 'S001-HYG-02')",6,62.0,0.17900000000000002,2.5253190915962973,1512.7413550110386
2422,S001,C,"('S001-WAT-02', 'S001-WAT-05', 'S001-WAT-06', 'S001-FOD-02', 'S001-FOD-03')",5,58.0,0.137,2.445273009302263,1446.7413550110386
2423,S001,C,"('S001-WAT-02', 'S001-WAT-05', 'S001-WAT-06', 'S001-FOD-02', 'S001-FOD-03', 'S001-HYG-02')",6,64.0,0.17200000000000001,2.5697276175168415,1512.7413550110386
2424,S001,C,"('S001-WAT-02', 'S001-WAT-05', 'S001-WAT-06', 'S001-FOD-02', 'S001-FOD-03', 'S001-HYG-01')",6,64.0,0.17200000000000001,2.5697276175168415,1512.7413550110386
