候选编号,服务区编号,机型编号,货箱列表,箱数,总质量_kg,总体积_m3,往返能耗_kWh,累计作业时间_s,质量上限_kg,体积上限_m3,首批箱数,优先级总分
634,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-03|S001-WAT-05|S001-WAT-08|S001-FOD-02|S001-HYG-02,8,76.0,0.195,2.9348794824245474,1646.6555751004735,80.0,0.25,2,114.0
635,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-03|S001-WAT-05|S001-WAT-08|S001-FOD-03,7,70.0,0.16,2.736852121903949,1580.6555751004735,80.0,0.25,2,106.0
636,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-03|S001-WAT-05|S001-WAT-08|S001-FOD-03|S001-HYG-01,8,76.0,0.195,2.9348794824245474,1646.6555751004735,80.0,0.25,2,114.0
637,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-03|S001-WAT-05|S001-WAT-08|S001-FOD-03|S001-HYG-02,8,76.0,0.195,2.9348794824245474,1646.6555751004735,80.0,0.25,2,114.0
638,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-03|S001-WAT-05|S001-WAT-08|S001-HYG-01,7,68.0,0.167,2.680994819242537,1580.6555751004735,80.0,0.25,2,104.0
639,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-03|S001-WAT-05|S001-WAT-08|S001-HYG-01|S001-HYG-02,8,74.0,0.202,2.863151541242593,1646.6555751004735,80.0,0.25,2,112.0
640,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-03|S001-WAT-05|S001-WAT-08|S001-HYG-02,7,68.0,0.167,2.680994819242537,1580.6555751004735,80.0,0.25,2,104.0
641,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-03|S001-WAT-05|S001-FOD-01,6,56.0,0.133,2.419978342213394,1514.6555751004735,80.0,0.25,2,94.0
642,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-03|S001-WAT-05|S001-FOD-01|S001-FOD-02,7,64.0,0.161,2.5813312717293537,1580.6555751004735,80.0,0.25,2,104.0
643,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-03|S001-WAT-05|S001-FOD-01|S001-FOD-02|S001-FOD-03,8,72.0,0.189,2.797374326694065,1646.6555751004735,80.0,0.25,2,114.0
644,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-03|S001-WAT-05|S001-FOD-01|S001-FOD-02|S001-FOD-03|S001-HYG-01,9,78.0,0.224,3.0133840801392706,1712.6555751004735,80.0,0.25,2,122.0
645,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-03|S001-WAT-05|S001-FOD-01|S001-FOD-02|S001-FOD-03|S001-HYG-02,9,78.0,0.224,3.0133840801392706,1712.6555751004735,80.0,0.25,2,122.0
646,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-03|S001-WAT-05|S001-FOD-01|S001-FOD-02|S001-HYG-01,8,70.0,0.196,2.736852121903949,1646.6555751004735,80.0,0.25,2,112.0
647,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-03|S001-WAT-05|S001-FOD-01|S001-FOD-02|S001-HYG-01|S001-HYG-02,9,76.0,0.231,2.9348794824245474,1712.6555751004735,80.0,0.25,2,120.0
648,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-03|S001-WAT-05|S001-FOD-01|S001-FOD-02|S001-HYG-02,8,70.0,0.196,2.736852121903949,1646.6555751004735,80.0,0.25,2,112.0
649,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-03|S001-WAT-05|S001-FOD-01|S001-FOD-03,7,64.0,0.161,2.5813312717293537,1580.6555751004735,80.0,0.25,2,104.0
650,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-03|S001-WAT-05|S001-FOD-01|S001-FOD-03|S001-HYG-01,8,70.0,0.196,2.736852121903949,1646.6555751004735,80.0,0.25,2,112.0
651,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-03|S001-WAT-05|S001-FOD-01|S001-FOD-03|S001-HYG-01|S001-HYG-02,9,76.0,0.231,2.9348794824245474,1712.6555751004735,80.0,0.25,2,120.0
652,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-03|S001-WAT-05|S001-FOD-01|S001-FOD-03|S001-HYG-02,8,70.0,0.196,2.736852121903949,1646.6555751004735,80.0,0.25,2,112.0
653,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-03|S001-WAT-05|S001-FOD-01|S001-HYG-01,7,62.0,0.168,2.536719201172764,1580.6555751004735,80.0,0.25,2,102.0
654,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-03|S001-WAT-05|S001-FOD-01|S001-HYG-01|S001-HYG-02,8,68.0,0.203,2.680994819242537,1646.6555751004735,80.0,0.25,2,110.0
655,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-03|S001-WAT-05|S001-FOD-01|S001-HYG-02,7,62.0,0.168,2.536719201172764,1580.6555751004735,80.0,0.25,2,102.0
656,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-03|S001-WAT-05|S001-FOD-02,6,56.0,0.133,2.419978342213394,1514.6555751004735,80.0,0.25,2,94.0
657,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-03|S001-WAT-05|S001-FOD-02|S001-FOD-03,7,64.0,0.161,2.5813312717293537,1580.6555751004735,80.0,0.25,2,104.0
658,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-03|S001-WAT-05|S001-FOD-02|S001-FOD-03|S001-HYG-01,8,70.0,0.196,2.736852121903949,1646.6555751004735,80.0,0.25,2,112.0
659,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-03|S001-WAT-05|S001-FOD-02|S001-FOD-03|S001-HYG-01|S001-HYG-02,9,76.0,0.231,2.9348794824245474,1712.6555751004735,80.0,0.25,2,120.0
660,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-03|S001-WAT-05|S001-FOD-02|S001-FOD-03|S001-HYG-02,8,70.0,0.196,2.736852121903949,1646.6555751004735,80.0,0.25,2,112.0
661,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-03|S001-WAT-05|S001-FOD-02|S001-HYG-01,7,62.0,0.168,2.536719201172764,1580.6555751004735,80.0,0.25,2,102.0
662,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-03|S001-WAT-05|S001-FOD-02|S001-HYG-01|S001-HYG-02,8,68.0,0.203,2.680994819242537,1646.6555751004735,80.0,0.25,2,110.0
663,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-03|S001-WAT-05|S001-FOD-02|S001-HYG-02,7,62.0,0.168,2.536719201172764,1580.6555751004735,80.0,0.25,2,102.0
664,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-03|S001-WAT-05|S001-FOD-03,6,56.0,0.133,2.419978342213394,1514.6555751004735,80.0,0.25,2,94.0
665,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-03|S001-WAT-05|S001-FOD-03|S001-HYG-01,7,62.0,0.168,2.536719201172764,1580.6555751004735,80.0,0.25,2,102.0
666,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-03|S001-WAT-05|S001-FOD-03|S001-HYG-01|S001-HYG-02,8,68.0,0.203,2.680994819242537,1646.6555751004735,80.0,0.25,2,110.0
667,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-03|S001-WAT-05|S001-FOD-03|S001-HYG-02,7,62.0,0.168,2.536719201172764,1580.6555751004735,80.0,0.25,2,102.0
668,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-03|S001-WAT-05|S001-HYG-01,6,54.0,0.14,2.3859347360100447,1514.6555751004735,80.0,0.25,2,92.0
669,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-03|S001-WAT-05|S001-HYG-01|S001-HYG-02,7,60.0,0.17500000000000002,2.4951386272184637,1580.6555751004735,80.0,0.25,2,100.0
670,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-03|S001-WAT-05|S001-HYG-02,6,54.0,0.14,2.3859347360100447,1514.6555751004735,80.0,0.25,2,92.0
671,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-03|S001-WAT-06,5,48.0,0.105,2.2957117349510248,1448.6555751004735,80.0,0.25,2,84.0
672,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-03|S001-WAT-06|S001-WAT-07,6,62.0,0.132,2.536719201172764,1514.6555751004735,80.0,0.25,2,96.0
673,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-03|S001-WAT-06|S001-WAT-07|S001-WAT-08,7,76.0,0.159,2.9348794824245474,1580.6555751004735,80.0,0.25,2,108.0
674,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-03|S001-WAT-06|S001-WAT-07|S001-FOD-01,7,70.0,0.16,2.736852121903949,1580.6555751004735,80.0,0.25,2,106.0
675,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-03|S001-WAT-06|S001-WAT-07|S001-FOD-01|S001-FOD-02,8,78.0,0.188,3.0133840801392706,1646.6555751004735,80.0,0.25,2,116.0
676,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-03|S001-WAT-06|S001-WAT-07|S001-FOD-01|S001-FOD-03,8,78.0,0.188,3.0133840801392706,1646.6555751004735,80.0,0.25,2,116.0
677,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-03|S001-WAT-06|S001-WAT-07|S001-FOD-01|S001-HYG-01,8,76.0,0.195,2.9348794824245474,1646.6555751004735,80.0,0.25,2,114.0
678,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-03|S001-WAT-06|S001-WAT-07|S001-FOD-01|S001-HYG-02,8,76.0,0.195,2.9348794824245474,1646.6555751004735,80.0,0.25,2,114.0
679,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-03|S001-WAT-06|S001-WAT-07|S001-FOD-02,7,70.0,0.16,2.736852121903949,1580.6555751004735,80.0,0.25,2,106.0
680,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-03|S001-WAT-06|S001-WAT-07|S001-FOD-02|S001-FOD-03,8,78.0,0.188,3.0133840801392706,1646.6555751004735,80.0,0.25,2,116.0
681,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-03|S001-WAT-06|S001-WAT-07|S001-FOD-02|S001-HYG-01,8,76.0,0.195,2.9348794824245474,1646.6555751004735,80.0,0.25,2,114.0
682,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-03|S001-WAT-06|S001-WAT-07|S001-FOD-02|S001-HYG-02,8,76.0,0.195,2.9348794824245474,1646.6555751004735,80.0,0.25,2,114.0
683,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-03|S001-WAT-06|S001-WAT-07|S001-FOD-03,7,70.0,0.16,2.736852121903949,1580.6555751004735,80.0,0.25,2,106.0
684,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-03|S001-WAT-06|S001-WAT-07|S001-FOD-03|S001-HYG-01,8,76.0,0.195,2.9348794824245474,1646.6555751004735,80.0,0.25,2,114.0
685,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-03|S001-WAT-06|S001-WAT-07|S001-FOD-03|S001-HYG-02,8,76.0,0.195,2.9348794824245474,1646.6555751004735,80.0,0.25,2,114.0
686,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-03|S001-WAT-06|S001-WAT-07|S001-HYG-01,7,68.0,0.167,2.680994819242537,1580.6555751004735,80.0,0.25,2,104.0
687,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-03|S001-WAT-06|S001-WAT-07|S001-HYG-01|S001-HYG-02,8,74.0,0.202,2.863151541242593,1646.6555751004735,80.0,0.25,2,112.0
688,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-03|S001-WAT-06|S001-WAT-07|S001-HYG-02,7,68.0,0.167,2.680994819242537,1580.6555751004735,80.0,0.25,2,104.0
689,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-03|S001-WAT-06|S001-WAT-08,6,62.0,0.132,2.536719201172764,1514.6555751004735,80.0,0.25,2,96.0
690,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-03|S001-WAT-06|S001-WAT-08|S001-FOD-01,7,70.0,0.16,2.736852121903949,1580.6555751004735,80.0,0.25,2,106.0
691,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-03|S001-WAT-06|S001-WAT-08|S001-FOD-01|S001-FOD-02,8,78.0,0.188,3.0133840801392706,1646.6555751004735,80.0,0.25,2,116.0
692,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-03|S001-WAT-06|S001-WAT-08|S001-FOD-01|S001-FOD-03,8,78.0,0.188,3.0133840801392706,1646.6555751004735,80.0,0.25,2,116.0
693,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-03|S001-WAT-06|S001-WAT-08|S001-FOD-01|S001-HYG-01,8,76.0,0.195,2.9348794824245474,1646.6555751004735,80.0,0.25,2,114.0
694,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-03|S001-WAT-06|S001-WAT-08|S001-FOD-01|S001-HYG-02,8,76.0,0.195,2.9348794824245474,1646.6555751004735,80.0,0.25,2,114.0
695,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-03|S001-WAT-06|S001-WAT-08|S001-FOD-02,7,70.0,0.16,2.736852121903949,1580.6555751004735,80.0,0.25,2,106.0
696,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-03|S001-WAT-06|S001-WAT-08|S001-FOD-02|S001-FOD-03,8,78.0,0.188,3.0133840801392706,1646.6555751004735,80.0,0.25,2,116.0
697,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-03|S001-WAT-06|S001-WAT-08|S001-FOD-02|S001-HYG-01,8,76.0,0.195,2.9348794824245474,1646.6555751004735,80.0,0.25,2,114.0
698,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-03|S001-WAT-06|S001-WAT-08|S001-FOD-02|S001-HYG-02,8,76.0,0.195,2.9348794824245474,1646.6555751004735,80.0,0.25,2,114.0
699,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-03|S001-WAT-06|S001-WAT-08|S001-FOD-03,7,70.0,0.16,2.736852121903949,1580.6555751004735,80.0,0.25,2,106.0
700,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-03|S001-WAT-06|S001-WAT-08|S001-FOD-03|S001-HYG-01,8,76.0,0.195,2.9348794824245474,1646.6555751004735,80.0,0.25,2,114.0
701,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-03|S001-WAT-06|S001-WAT-08|S001-FOD-03|S001-HYG-02,8,76.0,0.195,2.9348794824245474,1646.6555751004735,80.0,0.25,2,114.0
702,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-03|S001-WAT-06|S001-WAT-08|S001-HYG-01,7,68.0,0.167,2.680994819242537,1580.6555751004735,80.0,0.25,2,104.0
703,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-03|S001-WAT-06|S001-WAT-08|S001-HYG-01|S001-HYG-02,8,74.0,0.202,2.863151541242593,1646.6555751004735,80.0,0.25,2,112.0
704,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-03|S001-WAT-06|S001-WAT-08|S001-HYG-02,7,68.0,0.167,2.680994819242537,1580.6555751004735,80.0,0.25,2,104.0
705,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-03|S001-WAT-06|S001-FOD-01,6,56.0,0.133,2.419978342213394,1514.6555751004735,80.0,0.25,2,94.0
706,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-03|S001-WAT-06|S001-FOD-01|S001-FOD-02,7,64.0,0.161,2.5813312717293537,1580.6555751004735,80.0,0.25,2,104.0
707,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-03|S001-WAT-06|S001-FOD-01|S001-FOD-02|S001-FOD-03,8,72.0,0.189,2.797374326694065,1646.6555751004735,80.0,0.25,2,114.0
708,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-03|S001-WAT-06|S001-FOD-01|S001-FOD-02|S001-FOD-03|S001-HYG-01,9,78.0,0.224,3.0133840801392706,1712.6555751004735,80.0,0.25,2,122.0
709,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-03|S001-WAT-06|S001-FOD-01|S001-FOD-02|S001-FOD-03|S001-HYG-02,9,78.0,0.224,3.0133840801392706,1712.6555751004735,80.0,0.25,2,122.0
710,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-03|S001-WAT-06|S001-FOD-01|S001-FOD-02|S001-HYG-01,8,70.0,0.196,2.736852121903949,1646.6555751004735,80.0,0.25,2,112.0
711,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-03|S001-WAT-06|S001-FOD-01|S001-FOD-02|S001-HYG-01|S001-HYG-02,9,76.0,0.231,2.9348794824245474,1712.6555751004735,80.0,0.25,2,120.0
712,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-03|S001-WAT-06|S001-FOD-01|S001-FOD-02|S001-HYG-02,8,70.0,0.196,2.736852121903949,1646.6555751004735,80.0,0.25,2,112.0
713,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-03|S001-WAT-06|S001-FOD-01|S001-FOD-03,7,64.0,0.161,2.5813312717293537,1580.6555751004735,80.0,0.25,2,104.0
714,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-03|S001-WAT-06|S001-FOD-01|S001-FOD-03|S001-HYG-01,8,70.0,0.196,2.736852121903949,1646.6555751004735,80.0,0.25,2,112.0
715,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-03|S001-WAT-06|S001-FOD-01|S001-FOD-03|S001-HYG-01|S001-HYG-02,9,76.0,0.231,2.9348794824245474,1712.6555751004735,80.0,0.25,2,120.0
716,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-03|S001-WAT-06|S001-FOD-01|S001-FOD-03|S001-HYG-02,8,70.0,0.196,2.736852121903949,1646.6555751004735,80.0,0.25,2,112.0
717,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-03|S001-WAT-06|S001-FOD-01|S001-HYG-01,7,62.0,0.168,2.536719201172764,1580.6555751004735,80.0,0.25,2,102.0
718,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-03|S001-WAT-06|S001-FOD-01|S001-HYG-01|S001-HYG-02,8,68.0,0.203,2.680994819242537,1646.6555751004735,80.0,0.25,2,110.0
719,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-03|S001-WAT-06|S001-FOD-01|S001-HYG-02,7,62.0,0.168,2.536719201172764,1580.6555751004735,80.0,0.25,2,102.0
720,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-03|S001-WAT-06|S001-FOD-02,6,56.0,0.133,2.419978342213394,1514.6555751004735,80.0,0.25,2,94.0
721,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-03|S001-WAT-06|S001-FOD-02|S001-FOD-03,7,64.0,0.161,2.5813312717293537,1580.6555751004735,80.0,0.25,2,104.0
722,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-03|S001-WAT-06|S001-FOD-02|S001-FOD-03|S001-HYG-01,8,70.0,0.196,2.736852121903949,1646.6555751004735,80.0,0.25,2,112.0
723,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-03|S001-WAT-06|S001-FOD-02|S001-FOD-03|S001-HYG-01|S001-HYG-02,9,76.0,0.231,2.9348794824245474,1712.6555751004735,80.0,0.25,2,120.0
724,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-03|S001-WAT-06|S001-FOD-02|S001-FOD-03|S001-HYG-02,8,70.0,0.196,2.736852121903949,1646.6555751004735,80.0,0.25,2,112.0
725,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-03|S001-WAT-06|S001-FOD-02|S001-HYG-01,7,62.0,0.168,2.536719201172764,1580.6555751004735,80.0,0.25,2,102.0
726,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-03|S001-WAT-06|S001-FOD-02|S001-HYG-01|S001-HYG-02,8,68.0,0.203,2.680994819242537,1646.6555751004735,80.0,0.25,2,110.0
727,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-03|S001-WAT-06|S001-FOD-02|S001-HYG-02,7,62.0,0.168,2.536719201172764,1580.6555751004735,80.0,0.25,2,102.0
728,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-03|S001-WAT-06|S001-FOD-03,6,56.0,0.133,2.419978342213394,1514.6555751004735,80.0,0.25,2,94.0
729,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-03|S001-WAT-06|S001-FOD-03|S001-HYG-01,7,62.0,0.168,2.536719201172764,1580.6555751004735,80.0,0.25,2,102.0
730,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-03|S001-WAT-06|S001-FOD-03|S001-HYG-01|S001-HYG-02,8,68.0,0.203,2.680994819242537,1646.6555751004735,80.0,0.25,2,110.0
731,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-03|S001-WAT-06|S001-FOD-03|S001-HYG-02,7,62.0,0.168,2.536719201172764,1580.6555751004735,80.0,0.25,2,102.0
732,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-03|S001-WAT-06|S001-HYG-01,6,54.0,0.14,2.3859347360100447,1514.6555751004735,80.0,0.25,2,92.0
733,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-03|S001-WAT-06|S001-HYG-01|S001-HYG-02,7,60.0,0.17500000000000002,2.4951386272184637,1580.6555751004735,80.0,0.25,2,100.0
734,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-03|S001-WAT-06|S001-HYG-02,6,54.0,0.14,2.3859347360100447,1514.6555751004735,80.0,0.25,2,92.0
735,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-03|S001-WAT-07,5,48.0,0.105,2.2957117349510248,1448.6555751004735,80.0,0.25,2,84.0
736,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-03|S001-WAT-07|S001-WAT-08,6,62.0,0.132,2.536719201172764,1514.6555751004735,80.0,0.25,2,96.0
737,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-03|S001-WAT-07|S001-WAT-08|S001-FOD-01,7,70.0,0.16,2.736852121903949,1580.6555751004735,80.0,0.25,2,106.0
738,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-03|S001-WAT-07|S001-WAT-08|S001-FOD-01|S001-FOD-02,8,78.0,0.188,3.0133840801392706,1646.6555751004735,80.0,0.25,2,116.0
739,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-03|S001-WAT-07|S001-WAT-08|S001-FOD-01|S001-FOD-03,8,78.0,0.188,3.0133840801392706,1646.6555751004735,80.0,0.25,2,116.0
740,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-03|S001-WAT-07|S001-WAT-08|S001-FOD-01|S001-HYG-01,8,76.0,0.195,2.9348794824245474,1646.6555751004735,80.0,0.25,2,114.0
741,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-03|S001-WAT-07|S001-WAT-08|S001-FOD-01|S001-HYG-02,8,76.0,0.195,2.9348794824245474,1646.6555751004735,80.0,0.25,2,114.0
742,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-03|S001-WAT-07|S001-WAT-08|S001-FOD-02,7,70.0,0.16,2.736852121903949,1580.6555751004735,80.0,0.25,2,106.0
743,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-03|S001-WAT-07|S001-WAT-08|S001-FOD-02|S001-FOD-03,8,78.0,0.188,3.0133840801392706,1646.6555751004735,80.0,0.25,2,116.0
744,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-03|S001-WAT-07|S001-WAT-08|S001-FOD-02|S001-HYG-01,8,76.0,0.195,2.9348794824245474,1646.6555751004735,80.0,0.25,2,114.0
745,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-03|S001-WAT-07|S001-WAT-08|S001-FOD-02|S001-HYG-02,8,76.0,0.195,2.9348794824245474,1646.6555751004735,80.0,0.25,2,114.0
746,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-03|S001-WAT-07|S001-WAT-08|S001-FOD-03,7,70.0,0.16,2.736852121903949,1580.6555751004735,80.0,0.25,2,106.0
747,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-03|S001-WAT-07|S001-WAT-08|S001-FOD-03|S001-HYG-01,8,76.0,0.195,2.9348794824245474,1646.6555751004735,80.0,0.25,2,114.0
748,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-03|S001-WAT-07|S001-WAT-08|S001-FOD-03|S001-HYG-02,8,76.0,0.195,2.9348794824245474,1646.6555751004735,80.0,0.25,2,114.0
749,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-03|S001-WAT-07|S001-WAT-08|S001-HYG-01,7,68.0,0.167,2.680994819242537,1580.6555751004735,80.0,0.25,2,104.0
750,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-03|S001-WAT-07|S001-WAT-08|S001-HYG-01|S001-HYG-02,8,74.0,0.202,2.863151541242593,1646.6555751004735,80.0,0.25,2,112.0
751,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-03|S001-WAT-07|S001-WAT-08|S001-HYG-02,7,68.0,0.167,2.680994819242537,1580.6555751004735,80.0,0.25,2,104.0
752,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-03|S001-WAT-07|S001-FOD-01,6,56.0,0.133,2.419978342213394,1514.6555751004735,80.0,0.25,2,94.0
753,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-03|S001-WAT-07|S001-FOD-01|S001-FOD-02,7,64.0,0.161,2.5813312717293537,1580.6555751004735,80.0,0.25,2,104.0
754,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-03|S001-WAT-07|S001-FOD-01|S001-FOD-02|S001-FOD-03,8,72.0,0.189,2.797374326694065,1646.6555751004735,80.0,0.25,2,114.0
755,S001,C,S001-MED-01|S001-WAT-01|S001-MED-02|S001-WAT-03|S001-WAT-07|S001-FOD-01|S001-FOD-02|S001-FOD-03|S001-HYG-01,9,78.0,0.224,3.0133840801392706,1712.6555751004735,80.0,0.25,2,122.0
